uuid,created_at,created_longitude,created_latitude,modified_at,modified_longitude,modified_latitude,accessed_at,content,tags,folder,flagged,languageGrammar
"9F4880B6-27DF-465F-BD22-1F5A8CBFBF98",2026-01-24T15:20:39Z,0.0,0.0,2026-01-24T15:20:39Z,0.0,0.0,2026-01-31T13:45:21Z,"but doing that. Also makes me just like feel better in general you know less foggy and it's almost like to keep up with a pace of running I have to make sure that I'm relaxing into the structure of a good diet.","",0,false,Markdown
"35B99C16-5385-447C-ABEA-E9AC52417BC5",2026-01-27T01:02:13Z,0.0,0.0,2026-01-27T01:58:49Z,0.0,0.0,2026-01-27T01:02:13Z,"Wonder and awe come from expansiveness

All these changes and growing into groove make me question if I've been numb all this time and avoiding myself. Things like sleep seem to come naturally to those who listen to themselves

It feels effortless getting lost in something good, I'd like that to apply without the criticality, and I feel like that is the only thing that truly disintegrates my absorption

Like when I think about it, I'm always so anxious about my part that I can't get lost in the beauty of music. And now I think that's where I'm wrong

Also noticed today tha after a night struggling not to masturbate, today I was more attached to women at Target again. Highly correlated I bet

I think where I struggle with both groove and emotion may stem from like anxiety? But also…it's a lot to explain. So I started today with a long meditation, and something I've always noticed is I've never really felt my breath in my back. Nor have I felt any other emotion? And I think it confused me. When I think about Art, a lot of what I've made comes from an emotional place, but I've hardly been able to say the same with drum and groove. It's this point where I can listen to something later and feel good about it, but in the moment I can't listen never really listen to what I'm playing and feel anything with it. And I think it connects to all the hypercritical lenses I've adopted throughout my life where I can't just enjoy my playing, which has made it hard to enjoy all music. And I think I can't enjoy music because I get into that analytical mode, and once I'm in that mode it's like the only thing I feel is pride. So I guess I'm at a point where conceptually I understand what it means to get lost in music, to understand it, to enjoy it, but the number of times I've experienced that are few and far between. Even my favorite players, I get into this mental battle with. And I think part of that hits into why I struggle just listening to music or just reading a book or just watching movie: because I panic over struggling to get lost in it OR enter analytical mode OR productive mode and feel it's a waste of time, and I'm sure what I'm actually experiencing is an amalgamation of the three. And I think I struggle to let go of this lens because in my eyes it's been what's grown me so much, almost like the hypercritical nature has driven extraordinary results (although I'm not entirely sure that's the case) or at least it would if I kept up with it","",0,false,Markdown
"685D6B09-59E7-401A-B795-E79C810F2332",2026-01-27T09:19:29Z,0.0,0.0,2026-01-27T13:06:06Z,0.0,0.0,2026-01-27T13:05:48Z,"Conflicted on how to deal with the jazz jam stuff. Part of me wants to do the old way of doing extensive research to compile what's likely going to show up, and another part wants to show up not knowing anything and act like a pro and learn on the spot. Maybe make jams a homework? Always show up, mark the songs, the learn afterwards. May as well just go through jams online

Last night was an incredibly difficult one. Tossing and turning and doing anything not to goon. But I woke up this morning and thought to myself “I did it.” Made it through another night fellas 💪 - posted this on I Am Sober. Getting a better inclination to involve myself in community

Comaeux is a red head that wears a lot of teal 👀

","",0,false,Markdown
"73382738-30DC-4EFB-900E-622168332DC2",2026-01-27T13:59:02Z,0.0,0.0,2026-01-27T14:05:42Z,0.0,0.0,2026-01-27T13:59:02Z,"I have to let go of her. She's sitting in the lobby and I keep looking to her for some kind of attention, affirmation, really just staring at her teal Nikes. It makes me wonder if age difference is all that big of a deal. I imagine her down the line being a runner, adventurer, whatever. She's a hard worker. Could it be Her? But it feels weird in a way. If I wasn't at home, would it? Holding onto her drains me and I know this, it also makes it impossible to move on. She has a lot of the qualities but I'm also looking at potential and not reality.

On the other side, I let myself relax into the conversation with her. I sat at the table next to her, and conversation just flowed. Not forcing curiosity, but instead walking with it when it arrived. I didn't feel discomforted by silence. Noticed that by not trying to control it or predict it, I was more in flow with it and connected deeper. Even remembered more than I thought I would. 

Also noticed with Kevin this morning, he was upset (we all were) and said some things. There was tension, and although I didn't react, I felt it. Noticed this internal sense of responsibility to calm him, control him and his emotions in a way. I let these things go and didn't fall in, he ended up trying to ""fix"" it afterwards. Residual of childhood I think. I'm curious where it comes feom","",0,false,Markdown
"676694CF-10DF-4B68-B4D8-846FC1DC1675",2026-01-27T17:48:31Z,0.0,0.0,2026-01-27T18:26:44Z,0.0,0.0,2026-01-27T17:48:31Z,"What about an annual clinic which is just presenting/bringing together findings on cultural drumming? Like fly in great educators in different genres (eg this year jazz people, next year Afro Cuban legends) and teaching about the roots and growth of genre based on those things. ""Exploring the world through drums"" #ideas

Another hallmark of connection is being able to stay with yourself in the present, in conversation, in a calm and mindful way

How do you begin to separate analytical mode form presence mode? Different hats? Leave it on the field. Analyze later. It takes up too much brain power to be the observer and the observed simultaneously 

Karma debt works the same way as financial debt. I think it gathers interest over time so that below the level of courage, emotions conspire to push you down, but after courage they do the opposite.","",0,false,Markdown
"5ADA1AF7-91F9-4EA8-80B8-83FBBB9EBC4F",2026-01-27T19:00:40Z,0.0,0.0,2026-01-27T19:00:52Z,0.0,0.0,2026-01-27T19:00:40Z,"How can I expect my company to stick to a budget if I can't?","",0,false,Markdown
"A064B0C0-CD5D-4A1A-80FC-4B1645C3271C",2026-01-27T21:07:16Z,0.0,0.0,2026-01-27T21:08:21Z,0.0,0.0,2026-01-27T21:07:16Z,"I think the recent kinks are really my body's way of sexually gratifying discipline. Like it all seems to surround this emotion of ""this is going to suck, but She'll feel good for it"" and some part of that makes me feel good? In experiencing both of them","",0,false,Markdown
"A1757EF3-AD88-47C3-BB7C-906D3DF0081D",2026-01-28T00:08:07Z,0.0,0.0,2026-01-28T00:08:30Z,0.0,0.0,2026-01-28T00:08:07Z,"Have to accept that looking at women's shoes is a form of porn for me, especially when I get in that mode.","",0,false,Markdown
"F4D9E9B0-9BD7-4328-9E1B-B05C096ECD5A",2026-01-28T13:22:36Z,0.0,0.0,2026-01-28T13:35:32Z,0.0,0.0,2026-01-28T15:32:59Z,"Noticed it in public the first time today, the way I allow myself to experience misery for the benefit of others. Mohan came in and I didn't ask him how he was doing this time, knowing it would only bring me down. May be a sign of my boundary-less existence? Starting to see ways I'll absorb others suffering to create a better environment. But now, I feel like I've started to recognize a better way. It's possible to surround yourself with uplifting people who don't harp on misery, or at least where consuming their misery isn't part of the pleasure of being around them

From this perspective, horniness may always just be a tool for lacking?  ","",0,false,Markdown
"94B8CB87-97EF-491B-9ADB-68B6DF7C7225",2026-01-28T11:04:49Z,0.0,0.0,2026-01-28T15:49:21Z,0.0,0.0,2026-01-28T20:35:27Z,"Why am I holding onto this fantasy in particular?
- Last ditch intensity clutch
- Way of dismissing fantasies in the past was overusing them
- Staying small
- pleasure in discipline, especially of pleasing Her
- Outskirts of relationship
- Delusion that this brings me closer to a relationship 
	- It's genuinely pushing me farther away, I can feel it intruding again
- Closeness
- Not having to do any of the work is pleasurable
- Get to feel both sides of it
- Cuteness factor? Adoration?
- Familiarity 
- Still a large element of belonging (to her)
- There's some kind of pleasure derived from allowing her to continue thinking what she's doing is harmless. Like somehow, my (unknown) misery contributes to her happiness and pleasure. I see this when she finished playing with me with her feet (socks on) during a movie. She's got this subtle, contented smile before putting me back in her shoe again. Same with when she move me from ass to slipper. Like I'm willing to suffer it thinking there's no other way and no way out
Holding onto these things keeps me stuck. The harm:
- Staring at peoples feet, looking for a moment to stare down (noticed this with Zoe this morning)
- Following women
- Relationships where I choose misery
- Makes eye contact and connection difficlt
- Loss of presence as I sink further into the fantasy
Learn to hold and harness the energy without acting on it. It CAN be a superpower if you learn to do this.

How do I let go of this?","",0,false,Markdown
